"statefips","countyfips","cv1","cv3","year","cv5","cv6","cv7","cv59","cv2","cv4","cv58","cv28","cv8","cv9","cv10","cv11","cv12","cv13","cv14","cv15","cv16","cv17","cv18","cv19","cv20","cv21","cv22","cv23","cv24","cv25","cv26","cv27","cv29","name","cv87","cv60"
"51","061",35889,,1980,,,,16176,628,,5261,12517,,,,,,,,,,,,,,,,,,,,,,,,
"51","107",57427,,1980,,,,27944,1840,,6116,19666,,,,,,,,,,,,,,,,,,,,,,,,
"51","153",144703,,1980,,,,63881,5741,,5580,46432,,,,,,,,,,,,,,,,,,,,,,,,
"51","157",6093,,1980,,,,2517,32,,1211,2606,,,,,,,,,,,,,,,,,,,,,,,,
"51","177",34435,,1980,,,,14588,551,,3500,11807,,,,,,,,,,,,,,,,,,,,,,,,
"51","179",40470,,1980,,,,17063,734,,3545,13146,,,,,,,,,,,,,,,,,,,,,,,,
"51","187",21200,,1980,,,,9044,289,,4089,8874,,,,,,,,,,,,,,,,,,,,,,,,
"51","510",103217,,1980,,,,60138,10868,,15502,52022,,,,,,,,,,,,,,,,,,,,,,,,
"51","600",19390,,1980,,,,10555,1461,,1785,7044,,,,,,,,,,,,,,,,,,,,,,,,
"51","610",9515,,1980,,,,5238,907,,2167,4503,,,,,,,,,,,,,,,,,,,,,,,,
"51","630",15322,,1980,,,,6850,336,,3652,6322,,,,,,,,,,,,,,,,,,,,,,,,
"51","683",15438,,1980,,,,7488,460,,1471,5511,,,,,,,,,,,,,,,,,,,,,,,,
"51","685",6524,,1980,,,,2961,107,,272,1931,,,,,,,,,,,,,,,,,,,,,,,,
"54","037",30302,,1980,,,,12297,480,,4769,11098,,,,,,,,,,,,,,,,,,,,,,,,
"11","001",606900,,1990,,,,303994,58887,,77672,278489,,,,,,,,,,,,,,,,,,,,,105899,,,
"24","009",51372,,1990,,,,26820,847,,4517,18974,,,,,,,,,,,,,,,,,,,,,17790,,,
"24","017",101154,,1990,,,,52605,2082,,6628,34487,,,,,,,,,,,,,,,,,,,,,29936,,,
"24","021",150208,,1990,,,,80833,3073,,14180,54872,,,,,,,,,,,,,,,,,,,,,43758,,,
"24","031",757027,,1990,,,,431572,141166,,77085,295723,,,,,,,,,,,,,,,,,,,,,203728,,,
"24","033",729268,,1990,,,,412742,69809,,49771,270090,,,,,,,,,,,,,,,,,,,,,165793,,,
"51","013",170936,,1990,,,,105584,36516,,19366,84847,,,,,,,,,,,,,,,,,,,,,35639,,,
"51","043",12101,,1990,,,,6190,188,,1680,4531,,,,,,,,,,,,,,,,,,,,,4126,,,
"51","047",27791,,1990,,,,13524,501,,3383,10471,,,,,,,,,,,,,,,,,,,,,8250,,,
"51","059",818584,,1990,,,,468776,127506,,52977,307966,,,,,,,,,,,,,,,,,,,,,227560,,,
"51","061",48741,,1990,,,,25531,1119,,4379,17716,,,,,,,,,,,,,,,,,,,,,16184,,,
"51","107",86129,,1990,,,,50525,4880,,5186,32932,,,,,,,,,,,,,,,,,,,,,27990,,,
"51","153",215686,,1990,,,,112964,13447,,6361,74759,,,,,,,,,,,,,,,,,,,,,59895,,,
"51","157",6622,,1990,,,,3375,118,,868,2964,,,,,,,,,,,,,,,,,,,,,2804,,,
"51","177",57403,,1990,,,,29479,1026,,4125,20483,,,,,,,,,,,,,,,,,,,,,17285,,,
"51","179",61236,,1990,,,,30440,1833,,3613,20529,,,,,,,,,,,,,,,,,,,,,17841,,,
"51","187",26142,,1990,,,,12856,354,,3412,11223,,,,,,,,,,,,,,,,,,,,,9137,,,
"51","510",111183,,1990,,,,70756,17998,,11389,58252,,,,,,,,,,,,,,,,,,,,,19990,,,
"51","600",19622,,1990,,,,11890,2900,,2110,7677,,,,,,,,,,,,,,,,,,,,,5362,,,
